variant,source,line_hash,actual,first,second,third,correct_first,correct_top3,covered,raw_shortlist_share,calibrated_first_probability
baseline,blogs,aec9b348316353f54f1064bbb13f8ee3a6150bc5f6f6b693405f62a2488a544f,would,would,was,and,True,True,True,0.29819580564972586,0.2336873063676345
baseline,blogs,f263d0fa5d35f563d4fc8bd77f4bc044a98ffb4792604b36e99d2e280f65b41c,asking,asking,was,who,True,True,True,0.24090473073131558,0.18983322172151815
baseline,blogs,efc89ef66d0c1b71569dcc267c85aded4538c3b38c3bf241d6d53a7401672e65,it,it,you,that,True,True,True,0.7715598973137484,0.6646665725412528
baseline,blogs,9b999f3dd982de37ebab18920b50418510a4b46acec18090155b9dddc1a684d1,hard,that,you,then,False,False,False,0.1591236763951492,0.12809249604721698
baseline,blogs,b20e92d5ad21ce30a1f960934ec2b98d647842ac3c18e9726d098c27f6db945e,pattern,pattern,colors,and,True,True,True,0.0935223088124161,0.07830251034528024
baseline,blogs,7b2cea39f0c84c3766fa6e40805058a1ce71fb16ea09083bd19929dbbe91cb25,guilt,thing,things,plight,False,False,True,0.11559965583011775,0.09517545188619547
baseline,blogs,6e2e3b09e1b9a7cb034c2fb76a1b4de4819aece663fc8f10f02514c504d3c30b,in,for,in,at,False,True,True,0.17225127568568102,0.1379826152639773
baseline,blogs,9d1fa4b82da0dad092cf64bb64ca3bdbb054e80e12d6ebba443c1e972f097bd8,a,a,going,looking,True,True,True,0.20018200446071518,0.15902870633712413
baseline,blogs,5266f5cb788b38cfde11fff9ea676c0fa7e0803e8dcbac6cecd619366a272723,bible,world,war,media,False,False,True,0.1712824448821663,0.137252866508684
baseline,blogs,eb34bf6699aaa1217567eb7fd0c0de82f1f07b67f971791392355c4bedcd8d8f,to,to,and,than,True,True,True,0.6647722488285775,0.5506647167678727
baseline,blogs,7111ae51981579a72971859f7533d6f02cb6f5adbad28f8c3771c2ddb84fdeb9,minute,and,i,because,False,False,True,0.12689997628780966,0.10375354105724822
baseline,blogs,6355683db501b6b1779e60883734d3d2dd5eeef43d5988f9134e61b024c321c3,redeemed,to,the,a,False,False,False,0.22628339603345035,0.17874781452737715
baseline,blogs,79e89d54610ef94dd450acaddef6352f1d16e81d32c3f44c5e3f0286a2f60d3e,see,have,need,can,False,False,True,0.29484610094326086,0.2311008427092272
baseline,blogs,30a98c8a607827a4608cc19e4c721cf272941a302765f21484b6eaeee8532bf9,and,for,with,in,False,False,True,0.212870278962179,0.1686051500361754
baseline,blogs,6703c2d3452a07049e23d987a63039f067f48278176c81e3b647da3914d5f797,can,is,are,was,False,False,True,0.37930031514757495,0.29744309902978333
baseline,blogs,fb433cc7c93e992170a9f46ca2c2260734f2f1fe956d0b68d3d6b2e4b5ddcd9e,wait,believe,wait,even,False,True,True,0.17080322901498618,0.13689190436758392
baseline,blogs,83b22b7ca08213bd33f99b683e97d0c9f99221196ac6b1c4923ce4843b3da789,share,was,volunteer,started,False,False,True,0.14495695458811184,0.11740807322106826
baseline,blogs,a900232a35443279d1887ef90ab13e3043eb6c5ed7e40c53a0c72bdf980ecd1d,from,to,and,of,False,False,True,0.2957354811102489,0.23178726628212945
baseline,blogs,49956ad59f7668270e5edbe7fe507e330f2ab55122e8ce06dd935531a8371140,my,it,the,you,False,False,True,0.3508542068914638,0.27481052942919176
baseline,blogs,8295ddaba3a01a2a835a4ab2c002155ce43dbdd3e7df69d04eee5d1072ef7d5b,boat,boat,canoe,car,True,True,True,0.38350354092282335,0.30081543685177753
baseline,blogs,45566593b1c1dcc12fdb86abbaf28ede465fba2cee85b958df68ef1c5a60139b,last,of,was,in,False,False,True,0.6597307353270518,0.5456240906694599
baseline,blogs,11c8194f110c147d7e54207d63c7bf015043a852a15c1c54a3796a83727c46cb,he,he,and,at,True,True,True,0.15530746323095912,0.1252159502739981
baseline,blogs,7916ada21ccabeca77c17ba427738086eff5c30c7237c4d7fcda20fa907abc1d,s,of,in,you,False,False,False,0.5075320464572577,0.40429531944936875
baseline,blogs,9608b7af0af1c6f4c061c2d4f20c6c22476c2f26dbff5f1c7a129280b2e8689c,the,the,a,what,True,True,True,0.6119172146905162,0.49908997188850895
baseline,blogs,a336b59835da07938e70e5d6170fd592ec0d855b47ca94a04c87ab849c88a470,a,a,going,the,True,True,True,0.1747653767912647,0.13987626904104017
baseline,blogs,73305c344de246fbb1d80f89a411292102f07503631757877eea090aea12f1db,worth,worth,made,well,True,True,True,0.9629912939262446,0.9260590816100701
baseline,blogs,a441214aec29f2d3d46bd722915cba2c9970ce2ac71b931d55267a1703fb0528,is,is,of,turns,True,True,True,0.6534637899031465,0.5393955144090293
baseline,blogs,98b82c9eed8c4f6a648303afdf3133b7a7d6b6e74e4e38308fcdf779f947498e,pain,professional,press,pro,False,False,True,0.0804256653438423,0.06819148043688075
baseline,blogs,e9e973346932087fba1618bce49c0df38f3cb03f462da495c39679812748ef79,mean,love,wear,have,False,False,True,0.15765952493135918,0.12698897351217586
baseline,blogs,f9946819f403927349fc881271f2c6c83383472f3ddb0d445328e6cc430df486,difficult,delicious,beautiful,amazing,False,False,True,0.1683145550067485,0.1350172866931047
baseline,blogs,8c6ed08530d53a41b4f4fffdb61b7d563baa860369429b883ee9458d54d450d7,theme,song,album,single,False,False,True,0.23089230198157265,0.18223853528127143
baseline,blogs,ebe58ce7a1082c3feece92de4e9b9e61cc645952c3d4c5c317fd27d1066c30ce,role,role,part,roll,True,True,True,0.8079663308904832,0.7073477505835982
baseline,blogs,74ef96e102d541fa54131499f3b9db11ced78cd9e3c3814184ff0ea32625aed5,in,in,to,for,True,True,True,0.4690922599981613,0.3713162461856752
baseline,blogs,0c30eb7c9e4c599e905c22a2fe74c008436195ec86564ae0ecb29df01e964874,maybe,when,in,and,False,False,True,0.07857968224306973,0.06675839432585533
baseline,blogs,84e79b46304c4b86e3719f4568bb1de9c718bc4bda43ad2101820b50b79a1f15,the,being,a,the,False,True,True,0.17123922819151213,0.1372203143114548
baseline,blogs,2e28545ab626f0ed31695b52768260299a6cccf6f70342700757735211d67127,sure,sure,it,a,True,True,True,0.5351680722675154,0.4285963372224473
baseline,blogs,bc12e53912c5506bd8fba74afc31773e680b6c1cb3daa7ee7f350282652c3a30,walk,walk,run,ride,True,True,True,0.8069933700190001,0.7061765690988316
baseline,blogs,e0dfb97e3a677545fa4dfffbabb6f7ef7ca56d909d1c3fa1a6f40cc0e1cc57b8,of,of,work,out,True,True,True,0.9765666363407929,0.9504019175970162
baseline,blogs,31e7b1c6cff5e67e8026f188e0c19b4301367bf6776578f8fe1c0fc445e3a1c6,ten,new,state,organization,False,False,False,0.05029340518042778,0.044455287208948514
baseline,blogs,8a751befdd413105a3e11e4d05ca347c25a7e70627a60fb48907e8de248aa830,do,have,am,need,False,False,True,0.08894869562603068,0.07478190512644162
baseline,blogs,b4b260175a578126b4247719d362565801ed97034261d7420caa8ee78eff075f,as,as,of,fun,True,True,True,0.7350188059764949,0.6239563111842219
baseline,blogs,0e5c82238f3d415b65c89074390caac10a4ad60901493659589db1a211a5bb8e,be,be,have,change,True,True,True,0.8756545596982298,0.7937349126613704
baseline,blogs,cecfc731ff2dc82e0464553dab65ea06563ca5b955750415a66f56575d754746,his,his,a,the,True,True,True,0.1066467133262354,0.08835419160280117
baseline,blogs,3563f4b2cebc5cb87351bcc26fda065af301b824d3f6f928fda200c4a187656e,group,problem,bubble,debt,False,False,True,0.16594745815821146,0.13323411655683326
baseline,blogs,15feeed522fff391fca9d2728ddfd45b5adff5f769702eaf4be1ac58ad4ab3ac,am,am,was,always,True,True,True,0.9591077567601259,0.9193779033630642
baseline,blogs,215422d4e3256de09dfe6b6f6122644f61ad89bee91aeeffba0332a3f3025335,of,of,in,on,True,True,True,0.5107640992996051,0.40711071128101456
baseline,blogs,19c6afbf2a41cc79c3af9e75439eec81cd537a6be8e10f133aa94d2d4b4d70ef,more,the,more,a,False,True,True,0.4348767191237324,0.34268555014962576
baseline,blogs,a75ce9ed867ce41f5d2ecc7584e5a94c8cdcec6be9ec459806e69ca222cb9f27,blog,collection,volume,issue,False,False,True,0.15971343642310828,0.12853695944780966
baseline,blogs,b33262b829d992bc261f910a85887b3b5ae2f64795419a177c720766fe84352a,after,to,as,out,False,False,True,0.6660229914808578,0.5519194355709586
baseline,blogs,be217839162c1e6d01558a006a5eff1f0b92835ce1c8d814c4487c421fac3484,that,of,about,i,False,False,True,0.5208374861147067,0.4159300684814637
baseline,blogs,1a87f5d62a3d9decd763d029e59781663f0b822f443c6bd4c6f9ca01f46ee901,deep,of,and,is,False,False,False,0.16456817928231599,0.1321950063369951
baseline,blogs,458b35c837cc76c17b326759b499958c0f4cfa59ea7c9896ad2f756ce9c1b267,immigrant,to,his,for,False,False,False,0.858540532312456,0.7708887461680378
baseline,blogs,f6fa59a44e545a38bf4a93abe0ca4e7aca454f5aab637c67949e709e8285ea3b,big,the,i,clean,False,False,True,0.2201746087822396,0.17412569280950063
baseline,blogs,0e3ef918e529c048c69592d60af97d89e6730055ff8f046be96596593d6d2435,atlantis,of,and,in,False,False,False,0.3174990210880379,0.24865667784526865
baseline,blogs,1afdb7bd2b2c2811fa621c0bc78e0d01895d22d5ad1c86d43e7558094e53a6a1,photosynthesis,gravity,intelligence,life,False,False,False,0.482918629054493,0.3830742036086237
baseline,blogs,376e215d8c6cd470415aebb4cf199e1bf3762acc7dd6cc231548d18496762b53,film,the,film,cinema,False,True,True,0.3240053155443137,0.2537284011700494
baseline,blogs,2b97691c0156503cd2855c642ad4539cfa84f6e7a0a182897b5ed08870e20b2e,other,to,by,a,False,False,True,0.47740496300193724,0.3783717769445127
baseline,blogs,231e1fc688cf4221fdb4f14e4a41f8d48c71274beba89926262686902d46884d,purchases,their,the,goods,False,False,True,0.18469090693097187,0.14735275692789598
baseline,blogs,cfecbe4b420d81bc21699214c480457c6a7d389037033399654bd7c3f4699dc3,wound,character,member,series,False,False,False,0.12938566221210088,0.10563653192356616
baseline,blogs,d5f6455ec2b2962c52b8c397cacc3b3c22ff23a70e39deaed92e2a95651c6200,could,think,would,have,False,False,True,0.10369300803895871,0.08609792051011478
baseline,blogs,ff0c411b3a2bde6c4a942c68c2df8f52412488df2659f23e6a40acb6d14103f3,who,who,of,that,True,True,True,0.2152204007082825,0.17038066864517376
baseline,blogs,245399e44755b4da8c042adbbecde528171106ed6fe950efa2a75677b688f6b7,was,out,is,was,False,True,True,0.1733917386798027,0.13884163092455995
baseline,blogs,7f768a27d9e4842cbc393b042746c0b069b1867235183bda5fc74b0c3a36c816,two,two,new,councillors,True,True,True,0.175940704031704,0.1407615358722088
baseline,blogs,89e83c571d42e92f66a88eecd7ea780195e5bb47a66325c9407edf67885a6e6c,age,and,in,is,False,False,True,0.17981498956785172,0.14367974117358817
baseline,blogs,a602ce286ce9232b6867b0e8b849f7f935bd8b30ef6361e56239cea18b67fcaf,us,each,the,one,False,False,True,0.5409868703776053,0.43378074009438444
baseline,blogs,886bd8e3f21fd9b044f69642340b0fb07350a7c4b7fdaa5aa3523ab7de019994,am,was,first,say,False,False,True,0.25591080744921674,0.2012490374987708
baseline,blogs,c7d0e001a67a95234480af9b2daeb4a2e86c2fbecf4895b622e5ec940d056e41,the,men,the,their,False,True,True,0.29502989136719937,0.23124267399307857
baseline,blogs,5f1b2d51b52a9e815550856036c5ce72458bb9f5f4b4e4d389cb801ae66ce71b,started,was,had,went,False,False,True,0.1412286337974977,0.11459281160694057
baseline,blogs,7a02abc5359ec58ab97a0d1a3bd9f3d7d83a4815d8d710261da96827e27d23ab,pillowcase,bag,plastic,blanket,False,False,False,0.07421483058332269,0.06336087445086698
baseline,blogs,a534bdcf6903d5e8d93092bd929caae3b435371ebfc3d61511e28611ec553836,is,is,i,beats,True,True,True,0.36755833608831184,0.2880615019139571
baseline,blogs,ebf7d339b598e8c762e07551aefdcca5828e610c8101107eca538c79b3796dca,images,than,like,about,False,False,False,0.13460159860696108,0.10958395219893906
baseline,blogs,d50bd1c4fc37752571361a4528226c7885c101ef5bf71d57223b2cad829082eb,g,l,is,g,False,True,True,0.6216539215550899,0.5083881998844552
baseline,blogs,a3c43ccb1758d339e15d11f8fefdbe3c1d03aa5568d2dcf6560d9f6cc64b2502,sees,is,will,has,False,False,True,0.38919166381954384,0.3053912713859709
baseline,blogs,b236b470409c80fdeb4f072a6279d1d37e54d82fde155e9527ba95fb8a5bfa6f,of,a,christian,not,False,False,True,0.3682748311226292,0.2886323442313234
baseline,blogs,e8ddfacfe1d325ec0821a409d5c0c3064025f2e93edc58a34c1271a86925fe08,in,over,on,around,False,False,True,0.4065437379808875,0.3194394751429926
baseline,blogs,ba26f9c15a2bd865cdb727f4b9a0e49f89255cb567e643d440597bf0f5500ef4,a,a,an,the,True,True,True,0.42616658205830793,0.3354967935963023
baseline,blogs,8083bb0263d5b72eb70343327fb2a97c28158a908e402f15722509a7d75119b0,with,with,apartment,in,True,True,True,0.8454190006465024,0.7538658697868185
baseline,blogs,b558b593a7ea02c5b3371cb04bf5bdce3734942654e6f3fb636525ed36254e0f,what,what,where,who,True,True,True,0.42252749529809186,0.3325047030905599
baseline,blogs,4903dea881abc7a0b49b562ba8d8ad5136077490023af7d2b54197152c337734,realized,have,am,would,False,False,True,0.16293925704581097,0.13096773137322787
baseline,blogs,9d00e9ada0d20242d5574dae78fcef2279098319f1cbbd40d5678a981007a12d,in,in,not,afflicted,True,True,True,0.8202431624078417,0.7222810684559743
baseline,blogs,0e134a47f0444ae0840ea5f921dade499a4153e40e8652644b2596ff642fc026,october,day,week,thigh,False,False,False,0.610974616128505,0.4981944067367576
baseline,blogs,3f36bff78d9538e20b299e1f7fd399d7e964ad42408205d75669fd7c403b24d3,palette,is,and,books,False,False,False,0.12124438205358713,0.09946426655441748
baseline,blogs,8063789606dc30d447522265beeacf038d4b5b475ded0ea2180506045508406c,a,the,a,to,False,True,True,0.24467868374139218,0.1927002720213439
baseline,blogs,a566332bd7a5cb5cb8febfc0e6ddf910242f26a9f266325bbbecae6449a604a8,hamelia,is,family,and,False,False,False,0.1430403585591717,0.11596106627221513
baseline,blogs,f8ec57719293c08378a494717f06d3d60b05c2f1a3715a3030d2fe5f32f3aa7e,need,of,in,and,False,False,True,0.5561249523090442,0.4473844830719011
baseline,blogs,481413a31f972b22810b46ae6f14f1d7b6e4bdd236ca13364f921c4a5a077ea1,the,this,the,it,False,True,True,0.45933041258417084,0.36308179082884545
baseline,blogs,417f3863c86c61d91caf9c746951f0508df0da70f412361862177ec9aace985c,oil,is,the,and,False,False,True,0.21638335131504371,0.17125951124234678
baseline,blogs,8fa0c888321e7078108c520e72f472f2f9f8fd5cd0bebf54e4cec102e60b1b2b,servings,a,the,it,False,False,False,0.2652945822527579,0.20841076389997787
baseline,blogs,6ddc3e9e547882f60db4a147f6e5a6e1cabb36c187dd571c45e8202fc656bf95,nuclear,nuclear,recent,threat,True,True,True,0.45140689802767725,0.35643746665521725
baseline,blogs,2afbeac58687d6438f5134013d644d4a68ec945a7e0d85dacb57f449cfa1b85f,her,me,her,my,False,True,True,0.15007826029523672,0.12127257677051678
baseline,blogs,67d3834ba06c4f2cfd83ad396a116667ebfb660af44e1603dfd84b153ed4f71a,sin,mother,mom,parents,False,False,True,0.05096101874229522,0.04499109680308486
baseline,blogs,e2cc0e4cf1aa4d2bbdaf6f2b2a9859878980c2c1c0e4cbabe5613f8b71cb399f,using,then,using,and,False,True,True,0.14012796474222908,0.1137613484530966
baseline,blogs,b523a19a81b29090db337ed54a417b31e855e90ed571b85612a6067184de0d19,red,burgers,burger,and,False,False,True,0.14321645281136813,0.11609403409110929
baseline,blogs,5d0d31da8453292f69c3aedc33b1f03471e2c64564d82707c277254d907ade62,the,and,i,we,False,False,True,0.33732645447342474,0.26415652054985905
baseline,blogs,23577174790271f64495bbe6ef8e29e4a7632f5ac1d726726417aa7b7b97c7a2,back,tomorrow,next,all,False,False,True,0.3381817234065794,0.2648281444898882
baseline,blogs,2fcbbd5803e985e9b603fb530b05caeb09e28bc4d8b7bd5caaae36d7fa2929d4,different,like,a,different,False,True,True,0.21956711004729854,0.17366630589982884
baseline,blogs,5861c76e5845665e751093b4da060a380c6f285fe1f17ec688034931d515664f,i,for,but,to,False,False,True,0.17760974000735147,0.14201867714299274
baseline,blogs,7728493d12198e4c0233a9eeb9116c5770af86d31d028a14ed52a16d043802bc,purchased,in,and,i,False,False,False,0.0957928145790023,0.08004657701411266
baseline,blogs,936a243f201e494bb01a675b21203815716cad594e8353dd84c852c94638bd93,through,and,the,where,False,False,True,0.3858702453541454,0.30271763280958247
baseline,blogs,61832ca2585d7cce13cd8642a6716d597dafb488b65a4235d48dd2e170720a89,just,is,about,was,False,False,True,0.35585662550529806,0.27876746862476515
baseline,blogs,24fb67bc4ac7e3b72db8ee0ddc79e42f3dc4173b6de1a83d2731a30207fdfd58,for,for,until,about,True,True,True,0.6120405188370319,0.49920718271096937
baseline,blogs,5176ff7fd32b9dd1b7643c951aeadb9ea6f0720722ef496f6c1eb4b5a180c4c3,other,other,others,rest,True,True,True,0.2968211578830653,0.23262549294541066
baseline,blogs,d3712feb632ee8c1b8f1bf2c0f0a62330ed936de7ad6b0951de813022d71ee99,up,up,was,ups,True,True,True,0.8409307351404843,0.7481347768410349
baseline,blogs,c8f72479059282e21ce49953388b752abb14461a114c1dcf77974bf019153497,i'm,if,what,below,False,False,False,0.2573256842258156,0.2023276773244741
baseline,blogs,fec99da2fb2c1801a5ed637014cc7181483d79121bc12c185eaa5f5989f7c394,wonder,don't,have,was,False,False,True,0.07623948502253501,0.06493844504434838
baseline,blogs,c48c1b5f138887be78b58b12e6f05487306b482ea14ad5f91476344ba8a5ac2b,universities,country,society,party,False,False,True,0.48634032080326645,0.38600169178621563
baseline,blogs,485884539d5e1b67c9a6598437f9e2db069502ef0330e16a3630511681af96d4,am,hope,am,have,False,True,True,0.19436851987608814,0.15464539686756731
baseline,blogs,c1f8f40a232d99101c88c0d1e2e1b69b39079a812f37478a6e2fe40526ae193a,will,will,are,can,True,True,True,0.23701850630093863,0.18688346864287053
baseline,blogs,da61e0430b0244a865f83d705f1961e84581b07478d368897cd13aeee9076075,morning,i,we,was,False,False,True,0.29769591319796385,0.2333011143782868
baseline,blogs,98b2beb4dc349bc93b5416f116dcd4cbe261af0435062f9a250bd5efc2831668,to,to,a,it,True,True,True,0.6889069490091333,0.5751804899171423
baseline,blogs,116804cc52bcadcabbbf44086ec03f867f1e229de4c44bec679dcdbb22d1fa4b,to,to,and,the,True,True,True,0.5655414406314391,0.4559338308772831
baseline,blogs,6d995384401113048225cdd129a2d3ad8d6a8ac662bab49e3fa1304f58fff897,cookies,the,christmas,holiday,False,False,True,0.10747535714570516,0.08898662122174592
baseline,blogs,faf28dbc01431f75ecb75660a669dbdb90de0697e2e713c650ebe80336628cd5,have,were,fit,are,False,False,True,0.4330942387072066,0.3412112510359706
baseline,blogs,4b8ebbfa7c5c94a6417c06fea8d2032439d48d2c5e9875c2a5214df449902f50,to,to,them,people,True,True,True,0.8212954699113757,0.723574788974358
baseline,blogs,4d7047a4a2c6097b0ed90d8f5f9aa22bf87a9b12428f9320127a196f7caf5062,nervous,intimidated,nervous,of,False,True,True,0.28198900447442216,0.22120178570240334
baseline,blogs,461c17ae99d313854b8fdf82e113b7c5a240cae2c30f9243aac7598fe19550a2,or,a,or,the,False,True,True,0.3861635101324974,0.3029535080585668
baseline,blogs,c9aa9ce7e2dff8c20fba73f862de7ab4730a3605f9648bc731025d0e6d7c960b,doesn't,will,is,has,False,False,True,0.15920041329386528,0.128150328717159
baseline,blogs,f97a9d38892767ec3370bcce2610c393714ebc6f57cb5e40a00ff6a3448c3ed2,in,it,in,by,False,True,True,0.08009427704549493,0.06793437369504994
baseline,blogs,245712229c5caa1f9c09e4280b4c4ef72cd7420b12479aba79edb3afb7ad6a31,the,each,the,time,False,True,True,0.4224973073551923,0.33247990990335113
baseline,blogs,3af174b0ed34f2345698058e821efc8a1b0f5d4a1aaa879f70f0731063c3e7b2,watched,have,had,was,False,False,True,0.15495431532183646,0.12494970821514595
baseline,blogs,bb96a182e9ac5dd48708307d3756652c8da282362b5e7cb91f2afe058601be44,paid,was,have,had,False,False,True,0.35441419233792487,0.27762551911292277
baseline,blogs,d13f272d884063d362d08e2acf8ee9527d02a45c6cb3b2cc4eddf0274f2126b6,date,raise,date,divorce,False,True,True,0.3084408146231112,0.24161811591171156
baseline,blogs,7d61826baaf7042473281bf9c75e298b1cf83ed5c6655b7b101a81bda9d7e3ca,duties,tasks,routine,activities,False,False,True,0.28814869499058104,0.22593879416875437
baseline,blogs,6c2b305fe08337014b8afe19b3ac0bfa868b6d89c74949d05eedea3ceaf9118d,alignment,mood,mode,form,False,False,False,0.3288235211822817,0.25749323158147736
baseline,blogs,07714b3bd38ad7925c447e4253077d96428873d501fef5ace87f0b0a2e56bddd,miserable,miserable,so,crying,True,True,True,0.1243074153257303,0.10178820702355285
baseline,blogs,f0e2258ebecf1b4536136bbb4649d4e74b4a16bbbf6e3ca9c25a01f6ea1fa7a3,on,in,on,at,False,True,True,0.3475998559750464,0.2722413840774094
baseline,blogs,e03385234bd3dd5cd80aa44e9a8548bae2bdb7602a34950edb910ef9845cf851,exciting,programs,community,mediation,False,False,True,0.0992842868707316,0.08272409351325428
baseline,blogs,60a598ba23b367bb619bef98a1f52dafcd6f010d56ff69647a0af633ce37cc8c,links,cards,links,details,False,True,True,0.21999334662046388,0.1739886185682034
baseline,blogs,002a0b60a758460816dd7c0fd2d8d780788613ce9ef430760a9fab77319cd2f5,you,it,the,you,False,True,True,0.14106962200405415,0.11447270174160094
baseline,blogs,8b87b6831d108be4326a59b231efa825be99a69415f27251cd5ad2cb407ec564,to,a,the,life,False,False,True,0.14665895362100423,0.1186927009438837
baseline,blogs,d71f8a82194d7c32c749099b36c456a55b75175aff841dc96e898d58abaf135b,new,the,that,it,False,False,True,0.18549689846510525,0.14795996958972354
baseline,blogs,e2f4f75d7513f0e46088b0e1320f721714760caea030a6c459f244b657d5e2d4,awakened,experience,entirely,emotional,False,False,False,0.0901214699270596,0.0756856518394777
baseline,blogs,f27fcd733d02768d5cdee2f3001e0bd861cf5b70633dba8e59a2de4be6eec27d,beans,beans,salad,peas,True,True,True,0.592179452226051,0.48050091513685866
baseline,blogs,0ba5b2877e48ed8b34e7a1227a40982b0c0f4268d6f718ef938d8850cd7f3159,meet,win,get,be,False,False,True,0.19219245113834799,0.1530052105289577
baseline,blogs,3ef2746a38a7e16cfa087f1593b978be6268d5fbcb698a6c0ce492ceb3c1bce3,eiffel,other,rest,majority,False,False,False,0.1367413419003251,0.11120194960163268
baseline,blogs,0f1a45d164eaa788e7a1c4f5cf30aa1f10fcf872418062624c2f28ec5d8e3da2,from,he,the,and,False,False,True,0.08064805583512946,0.06836398313017968
baseline,blogs,5127566befca81f20be7832ab3d4d12608169af39718942af3b52559cfe6598d,the,the,its,it,True,True,True,0.34943604985382565,0.2736904802135344
baseline,blogs,493c2b35fd083e252f77828d9140a6aa09002bcc234676026822c06731553162,wears,i,you,loves,False,False,False,0.14640241645925758,0.11849909369057594
baseline,blogs,b6383e523dd583f67095fc8bb321074d8c96845c10c08ab282f814117b9ef1fe,hop,post,posts,is,False,False,True,0.15266777111683685,0.12322562687557298
baseline,blogs,77f5eafff5696ee3bbf2a75929b6db4c4d936908d26c3923e7f8d6bdb7ca4bd3,back,in,into,back,False,True,True,0.4206957945067754,0.3310011550748266
baseline,blogs,95c993ac8a19329007bb41c8010f625f8ece398da3d1aaa4cff243a2647f4a28,beer,brewery,beer,fair,False,True,True,0.2844454281292226,0.22308966985171522
baseline,blogs,551822ec2f020357735a593adaf92a46ee8a2e3a1f2fdc37c3c14c13107b54cb,you,a,the,it,False,False,True,0.12515291663402783,0.10242931447665875
baseline,blogs,f8e9ef977c5750d6936ba206da92192b12c281c3c3894d01980578318c8b01de,of,of,the,to,True,True,True,0.9963947626049403,0.990632701439476
baseline,blogs,852be94ecce1eecd567f6dc1a2a4993fffbad7ab82eb339bcb994f3a49a8669b,paint,pistols,the,a,False,False,False,0.11158101505650667,0.09211673632589946
baseline,blogs,b6ab9306796afc9ce9a22cae6a262e4052ba75db50fcd4b590ddde6a195ecedb,not,a,the,like,False,False,True,0.0354715766329306,0.032388623895513564
baseline,blogs,c08a756c6246ffaab0ff4e4b0fd8b1994f89c04bae28ab8459df130e3a4be3f2,choices,to,questions,question,False,False,True,0.5001127445766069,0.39785821022690177
baseline,blogs,b97f18d7955cf4477f4d5acb60312959e61dcebc2beda70158cd5a76d16a183d,was,was,is,would,True,True,True,0.5783351755211477,0.46766085714538136
baseline,blogs,0ee1c15e110c2aa78f1dc6530dcb791385a8fde487020d2aa707f755adcd730a,a,a,the,an,True,True,True,0.5971112930398236,0.4851139451071282
baseline,blogs,f617292b773bc12780d8d948326b3162c2a8d57f90a69b648cbb9cf44596b6ce,a,a,the,what,True,True,True,0.10599165901049196,0.08785407873930821
baseline,blogs,cccbbc81a926a9af0277de33e6505d50fa2aab37c79fdd0aa9d597b7c5e4230b,that,i,made,that,False,True,True,0.33459420615693963,0.2620126713774022
baseline,blogs,3b6c7358b6a525007f9cd384edc88a7bcb73ddf95fdf29f8cd89e9158ddcf083,gardener,of,is,magazine,False,False,False,0.3554259640771859,0.27842643789586247
